id,name,description
2,Character typology,Questions to help you better understand the character and personality of someone
3,Digital trace,Keep track of the digital presence of someone on the internet
1,Basic information,General questions to help you remember basic information about someone
8,Work,Professional history and information like salary or current position
9,"Goals, fears and motivation",List of questions to help you understand what motivates someone
10,Skills and abilities,Remember the skills and abilities like sports or musical instruments
7,Education,"To remember things like the field of study, level of achieved education, or someone's expertise"
6,Family and relationships,Familiarize yourself with someone's family situation and relationships
4,Details to remember,List of questions and details that might be useful if you remember them
5,Physical appearance,When you need to remember little things like shoes or ring sizes
